2016,06-11-2016,2,4.5
2016,06-11-2016,3,1.3
2016,06-11-2016,4,-1.0
2016,06-11-2016,5,-0.5
2016,06-11-2016,6,0.3
2016,06-11-2016,7,1.9
2016,06-11-2016,8,1.1
2016,06-11-2016,9,-1.0
2016,06-11-2016,10,-1.3
2016,06-11-2016,11,0.2
2016,06-11-2016,12,2.3
2016,06-11-2016,13,0.8
2016,06-11-2016,14,-0.7
2016,06-11-2016,15,-1.3
2016,06-11-2016,16,-1.1
2016,06-11-2016,17,-0.7
2016,06-11-2016,18,-2.3
2016,06-11-2016,19,1.8
2016,06-11-2016,20,-2.2
2016,06-11-2016,21,-3.6
2016,06-11-2016,22,-1.3
2016,06-11-2016,23,2.7
2016,06-12-2016,0,3.2
2016,06-12-2016,1,3.7
2016,06-12-2016,2,3.1
2016,06-12-2016,3,0.5
2016,06-12-2016,4,-1.4
2016,06-12-2016,5,-4.7
2016,06-12-2016,6,-1.0
2016,06-12-2016,7,4.4
2016,06-12-2016,8,6.0
2016,06-12-2016,9,1.6
2016,06-12-2016,10,2.7
2016,06-12-2016,11,6.6
2016,06-12-2016,12,4.7
2016,06-12-2016,13,-2.8
2016,06-12-2016,14,3.7
2016,06-12-2016,15,3.6
2016,06-12-2016,16,0.2
2016,06-12-2016,17,-3.3
2016,06-12-2016,18,-0.9
2016,06-12-2016,19,0.0
2016,06-12-2016,20,0.2
2016,06-12-2016,21,0.6
2016,06-12-2016,22,0.2
2016,06-12-2016,23,3.2
2016,06-13-2016,0,4.4
2016,06-13-2016,1,-3.7
2016,06-13-2016,2,999.9
2016,06-13-2016,3,999.9
2016,06-13-2016,4,6.3
2016,06-13-2016,5,3.0
2016,06-13-2016,6,5.9
2016,06-13-2016,7,4.7
2016,06-13-2016,8,1.0
2016,06-13-2016,9,-1.9
2016,06-13-2016,10,1.3
2016,06-13-2016,11,2.6
2016,06-13-2016,12,1.8
2016,06-13-2016,13,1.0
2016,06-13-2016,14,-0.1
2016,06-13-2016,15,0.7
2016,06-13-2016,16,1.8
2016,06-13-2016,17,1.1
2016,06-13-2016,18,-0.8
2016,06-13-2016,19,-1.3
2016,06-13-2016,20,-0.1
2016,06-13-2016,21,-0.5
2016,06-13-2016,22,0.3
2016,06-13-2016,23,0.7
2016,06-14-2016,0,-1.4
2016,06-14-2016,1,-2.1
2016,06-14-2016,2,999.9
2016,06-14-2016,3,999.9
2016,06-14-2016,4,-0.3
2016,06-14-2016,5,-0.3
2016,06-14-2016,6,0.0
2016,06-14-2016,7,1.8
2016,06-14-2016,8,-0.7
2016,06-14-2016,9,1.3
2016,06-14-2016,10,1.3
2016,06-14-2016,11,2.7
2016,06-14-2016,12,1.8
2016,06-14-2016,13,-0.6
2016,06-14-2016,14,0.9
2016,06-14-2016,15,1.2
2016,06-14-2016,16,2.9
2016,06-14-2016,17,-1.0
2016,06-14-2016,18,-4.5
2016,06-14-2016,19,-9.7
2016,06-14-2016,20,-4.5
2016,06-14-2016,21,-6.8
2016,06-14-2016,22,-1.0
2016,06-14-2016,23,999.9
2016,06-15-2016,0,999.9
2016,06-15-2016,1,999.9
2016,06-15-2016,2,999.9
2016,06-15-2016,3,999.9
2016,06-15-2016,4,1.8
2016,06-15-2016,5,2.9
2016,06-15-2016,6,3.6
2016,06-15-2016,7,2.7
2016,06-15-2016,8,2.3
2016,06-15-2016,9,-1.2
2016,06-15-2016,10,5.1
2016,06-15-2016,11,2.2
2016,06-15-2016,12,2.5
2016,06-15-2016,13,3.5
2016,06-15-2016,14,2.3
2016,06-15-2016,15,4.7
2016,06-15-2016,16,4.8
2016,06-15-2016,17,6.4
2016,06-15-2016,18,6.1
2016,06-15-2016,19,6.8
2016,06-15-2016,20,4.5
2016,06-15-2016,21,4.6
2016,06-15-2016,22,5.4
2016,06-15-2016,23,3.6
2016,06-16-2016,0,2.7
